city,year,month,sales,volume,median,listings,inventory,date
Dallas,2012,1,2555,509458081,150800,16721,4.7,2012
Dallas,2012,2,3085,634067291,157100,17173,4.7,2012.0833333333333
Dallas,2012,3,4068,898320563,167300,17433,4.7,2012.1666666666667
Dallas,2012,4,4291,983333297,168700,17632,4.7,2012.25
Dallas,2012,5,5004,1175419749,175100,17726,4.7,2012.3333333333333
Dallas,2012,6,5196,1209024869,177900,17587,4.6,2012.4166666666667
Dallas,2012,7,4859,1117428758,176000,17314,4.4,2012.5
Dallas,2012,8,5264,1168296112,174200,16611,4.2,2012.5833333333333
Dallas,2012,9,4151,921678400,173500,15994,4,2012.6666666666667
Dallas,2012,10,4214,885330428,166700,15008,3.7,2012.75
Dallas,2012,11,3875,851505972,168300,13908,3.3,2012.8333333333333
Dallas,2012,12,3849,886692144,177800,12436,3,2012.9166666666667
Dallas,2013,1,3190,655201227,163100,12360,2.9,2013
Dallas,2013,2,3557,759739139,168100,12273,2.9,2013.0833333333333
Dallas,2013,3,5041,1203754457,180800,12249,2.8,2013.1666666666667
Dallas,2013,4,5545,1431377905,193300,12432,2.8,2013.25
Dallas,2013,5,6159,1584160079,198000,12785,2.8,2013.3333333333333
Dallas,2013,6,5981,1593190134,202800,13339,2.9,2013.4166666666667
Dallas,2013,7,6322,1598961793,199200,13685,2.9,2013.5
Dallas,2013,8,6209,1570480866,198000,13694,2.8,2013.5833333333333
Dallas,2013,9,4941,1181585876,188800,13145,2.7,2013.6666666666667
Dallas,2013,10,4593,1105924279,189200,12728,2.6,2013.75
Dallas,2013,11,3964,968261356,186600,11895,2.4,2013.8333333333333
Dallas,2013,12,4212,1071755610,194900,10531,2.1,2013.9166666666667
